Automatic trading on ETHEUR.log
++++++++++++++++++++++++++++
{'out_dir': '/home/rheremans/Repos/CryptoMadeira/source/scripts/../outputs/automatic_trade', 'filename_out': '05_auto_trade_auto_sell_ETHEUR', 'symbol': 'ETH/EUR', 'tolerance': 5, 'current_trend': 1, 'min_sell_price': 1725, 'min_sell_price_reached': 0, 'manual_price_input': 0, 'print_precision': 2, 'action_flag': 'IDLE', 'filled_flag': 0, 'static_transaction_amount': 2.0, 'buy_price': 1720.36, 'mav': 1, 'usdt_at_start': 7342.8225842, 'v_stack': [1720.36], 'v_min': 1720.36, 'v_max': 1720.36}
2023-04-10 16:42:35, Price=1720.36, v_min=1720.36, v_max=1720.36, trend=1
2023-04-10 17:14:52, Price=1714.58, v_min=(1714.50,0.08), v_max=(1716.64,2.06), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1714.58]
2023-04-10 17:15:05, Price=1714.57, v_min=(1714.50,0.07), v_max=(1716.64,2.07), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1714.57]
2023-04-10 17:15:20, Price=1714.44, v_min=(1714.44,0.00), v_max=(1716.64,2.20), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1714.44]
2023-04-10 17:15:35, Price=1714.58, v_min=(1714.44,0.14), v_max=(1716.64,2.06), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1714.58]
2023-04-10 17:15:51, Price=1714.58, v_min=(1714.44,0.14), v_max=(1716.64,2.06), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1714.58]
2023-04-10 17:16:05, Price=1715.02, v_min=(1714.44,0.58), v_max=(1716.64,1.62), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.02]
2023-04-10 17:16:20, Price=1714.43, v_min=(1714.43,0.00), v_max=(1716.64,2.21), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1714.43]
2023-04-10 17:16:36, Price=1715.00, v_min=(1714.43,0.57), v_max=(1716.64,1.64), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.0]
2023-04-10 17:16:51, Price=1715.00, v_min=(1714.43,0.57), v_max=(1716.64,1.64), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1715.0]
2023-04-10 17:17:05, Price=1714.99, v_min=(1714.43,0.56), v_max=(1716.64,1.65), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1714.99]
2023-04-10 17:17:20, Price=1714.99, v_min=(1714.43,0.56), v_max=(1716.64,1.65), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1714.99]
2023-04-10 17:17:35, Price=1714.87, v_min=(1714.43,0.44), v_max=(1716.64,1.77), trend=-1, action=idle, min_sell_price_reached=0, v_stack=[1714.87]
