Datetime,BTCUSDT,ETHUSDT,MATICUSDT,MANAUSDT
2023-03-28 20:18:02,27204.74,1770.49,1.0819,0.5738
2023-03-28 20:19:02,27204.95,1770.6,1.0811,0.5738
2023-03-28 20:20:02,27200.12,1770.41,1.0805,0.5739
2023-03-28 20:21:02,27198.54,1770.13,1.0806,0.5736
2023-03-28 20:22:02,27214.08,1771.26,1.0824,0.5745
2023-03-28 20:23:02,27172.81,1768.13,1.08,0.5729
2023-03-28 20:24:02,27176.43,1768.27,1.0796,0.573
2023-03-28 20:25:02,27177.4,1767.75,1.0798,0.5731
2023-03-28 20:26:02,27235.08,1771.14,1.0818,0.5739
2023-03-28 20:27:03,27260.59,1772.59,1.0823,0.5745
2023-03-28 20:28:03,27262.74,1772.57,1.082,0.5739
2023-03-28 20:29:03,27271.54,1773.54,1.0823,0.5744
2023-03-28 20:30:03,27269.12,1773.85,1.083,0.5745
2023-03-28 20:31:02,27227.48,1771.24,1.0816,0.5733
2023-03-28 20:32:02,27231.23,1771.18,1.0816,0.5742
2023-03-28 20:33:02,27217.99,1770.72,1.0812,0.5739
2023-03-28 20:34:02,27232.44,1771.52,1.0817,0.5739
2023-03-28 20:35:03,27233.49,1771.81,1.0818,0.5743
2023-03-28 20:36:03,27260.77,1773.59,1.0823,0.5749
2023-03-28 20:37:02,27255.26,1772.79,1.0815,0.5746
2023-03-28 20:38:03,27266.17,1773.02,1.0819,0.5749
2023-03-28 20:39:03,27241.0,1771.2,1.0806,0.5742
2023-03-28 20:40:03,27262.13,1773.06,1.0825,0.5746
2023-03-28 20:41:02,27250.52,1772.61,1.0818,0.5742
2023-03-28 20:42:03,27267.52,1773.26,1.0824,0.5746
2023-03-28 20:43:03,27286.99,1773.78,1.0819,0.5748
2023-03-28 20:44:03,27282.66,1773.44,1.0816,0.5745
2023-03-28 20:45:03,27299.81,1774.7,1.0826,0.5747
2023-03-28 20:46:02,27276.71,1772.7,1.0805,0.5745
2023-03-28 20:47:02,27314.49,1774.57,1.0819,0.575
2023-03-28 20:48:02,27313.97,1774.89,1.0825,0.5753
2023-03-28 20:49:02,27321.03,1776.04,1.083,0.5754
2023-03-28 20:50:02,27342.58,1777.84,1.0856,0.5762
2023-03-28 20:51:02,27330.48,1777.91,1.0868,0.5767
2023-03-28 20:52:02,27350.49,1779.68,1.088,0.5766
2023-03-28 20:53:03,27492.63,1794.83,1.104,0.5794
